Club,Title,Date,Time,Artists,Genre,Description,Venue,Ticket URL,Event URL,Score
Kaschemme,2 YEARS EMO NIGHT w/ FC KLEINSTADT &amp; COROKIA,2026-11-21,,FC KLEINSTADT &amp; COROKIA,hardstyle,"Zwei Jahre Tränen, Schweiss, Party und die beste Community der Welt! Wir feiern das 2-jährige Jubiläum der 𝘌𝘔𝘖 𝘕𝘐𝘎𝘏𝘛! Zur grossen Geburtstagssause gibt Es nicht nur eure liebsten Emo-, Punk- und Post-Hardcore-Hymnen, sondern auch Live-Musik mit 𝘍𝘊 𝘒𝘓𝘌𝘐𝘕𝘚𝘛𝘈𝘋𝘛 und 𝘊𝘖𝘙𝘖𝘒𝘐𝘈! Lineup: 𝗙𝗖 𝗞𝗟𝗘𝗜𝗡𝗦𝗧𝗔𝗗𝗧, 𝗖𝗢𝗥𝗢𝗞𝗜𝗔, 𝗦𝗔𝗗 𝗕𝗢𝗬𝗦 𝗦𝗢𝗨𝗡𝗗𝗦𝗬𝗦𝗧𝗘𝗠-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/11/22/2-years-emo-night-w-fc-kleinstadt-amp-corokia,15
Kaschemme,LIVE: DIE P (DE) &amp; Classic der Dicke ft. DJ Crypt,2026-10-30,,,pop,"Stabiler Kopfnicker-Sound statt billige Effekte und Mainstream Trends. 𝘋𝘐𝘌 𝘗 und 𝘊𝘓𝘈𝘚𝘚𝘐𝘊 𝘋𝘌𝘙 𝘋𝘐𝘊𝘒𝘌 halten die Fahne des guten alten Boom Bap hoch und sorgen für ein musikalisches Erdbeben,  welches die Kaschemme in ihren Grundfesten erschüttert.Lineup: 𝗗𝗜𝗘 𝗣 (DE), 𝗖𝗟𝗔𝗦𝗦𝗜𝗖 𝗗𝗘𝗥 𝗗𝗜𝗖𝗞𝗘 (CH), 𝗗𝗝 𝗖𝗥𝗬𝗣𝗧 (DE), 𝗥𝗘𝗜𝗡𝗛𝗔𝗥𝗗 𝗞 (AUT), Cypher by 𝗡𝗘𝗨𝗙𝗧𝗥𝗢𝗜𝗦, Aftershow w/ 𝗡𝗜𝗚𝗛𝗧𝗠𝗔𝗡𝗔𝗚𝗘𝗥-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2510/diep,14
Nordstern,Worakls,2025-12-05,23:00,,electronic,"Worakls, the maestro of melodies, continues to redefine electronic music. His innate musicality, honed through years of classical training, seamlessly blends with his passion for electronic sounds. The result is a captivating sonic tapestry woven from powerful orchestrations, driving rhythms, and dreamy melodies. Each track is a journey, an exploration of emotions that resonates deeply with listeners, showcasing the true artistry that lies at the heart of Worakls' music.",,https://tickets.nordstern.com/events/worakls-2025-12-05,https://tickets.nordstern.com/events/worakls-2025-12-05,13
Nordstern,Aaron Hibell,2025-12-06,23:00,,techno,"Aaron Hibell is the dynamic young producer bridging the gap between the symphony hall and the dance floor. After dropping university for his craft, the English native cemented his place in the UK scene by producing for Europe&rsquo;s elite. Inspired by classical music, Hibell crafts captivating electronic sounds that effortlessly blend techno, trance, and house with orchestral elements, pushing both cinematic and electronic boundaries.",,https://tickets.nordstern.com/events/aaron-hibell-2025-12-06,https://tickets.nordstern.com/events/aaron-hibell-2025-12-06,13
Nordstern,Polyamor,2025-12-12,12:00,,nordstern,"polyamor is a Berlin-based record label that embodies a spirit of musical exploration and artistic freedom. They champion a diverse roster of artists who push boundaries and defy genre conventions, creating a sound that is as eclectic as it is exciting. But polyamor is more than just a label, it's an experience. Their parties are legendary, celebrating music with a lot of humor, kitsch, and tolerance. polyamor stands for the love of every body and every genre, bringing an infectious energy to th...",,https://tickets.nordstern.com/events/polyamor,https://tickets.nordstern.com/events/polyamor,13
Nordstern,Ztanz,2025-12-18,19:00,,emo,"ZtanZ - die Reise setzt sich fort . . . Am 18. Dezember &ouml;ffnet sich ZtanZ ein letztes Mal in diesem Jahr. Ein Abend, an dem elektronische Musik, Rituale, Live-Elemente und heilsame Impulse miteinander verschmelzen. Kein klassischer Event, sondern ein kollektives Erinnern an das, was uns im Innersten verbindet: Musik, Begegnung und Bewegung. Auf dem Mitteldeck des Nordstern entsteht ein Oase zum Ankommen, Loslassen und Tanzen. Begleitet von DJs, Live-Drums, Zeremonien und einem kleinen Buffe...",,https://tickets.nordstern.com/events/ztanz-2025-11-17,https://tickets.nordstern.com/events/ztanz-2025-11-17,13
Nordstern,Deborah De Luca,2025-12-19,23:00,,techno,"Deborah De Luca's musical identity is a compelling synthesis of contrasts. Born from the challenging streets of Naples, her sound fuses the raw power of hard Techno with refined minimal grooves and emotive melodic soundscapes. This technical signature is more than just music; it's a powerful statement of self. It speaks to a relentless determination forged against humble beginnings, translating an unwavering, deep-rooted ethic into electrifying, globally resonant performances. Her presence behin...",,https://tickets.nordstern.com/events/deborah-de-luca-2025-12-19,https://tickets.nordstern.com/events/deborah-de-luca-2025-12-19,13
Nordstern,Boutique,2025-12-20,13:00,,house,"From brunch to Spritz &mdash; your new Saturday ritual! After the successful first edition, Nordstern x Triple Espresso are doing it again! Expect smooth house vibes, creative spritz variations, local goodies, tasty food &mdash; and of course, coffee! Hang out with your friends on the Middle Deck with a direct view of the Rhine, dance to the beats, and make your Saturday something truly special. Partners: Milos &mdash; vollneis &mdash; l&auml;d&auml;l&auml;",,https://tickets.nordstern.com/events/boutique,https://tickets.nordstern.com/events/boutique,13
Nordstern,All Night Long,2025-12-20,23:00,,nordstern,"Doma's back! Longtime family, legendary closer, and now, a rising force with a string of fire releases. He knows this booth like the back of his hand and he's claiming it for an All Night Long takeover. Expect relentless, expect sweat, expect a masterclass in reading the room &ndash; and then setting it on fire.",,https://tickets.nordstern.com/events/doma-all-night-long-2025-12-20,https://tickets.nordstern.com/events/doma-all-night-long-2025-12-20,13
Nordstern,Cultura40,2025-12-25,23:00,,electronic,"Cultura stands for culture, community & harmony. Born in Basel with the sole purpose of inducing solidarity & pride into the city&rsquo;s vibrant electronic culture, Cultura has taken over the city in a wave of unity, fusing together Basel&rsquo;s underground music into an ever growing union.",,https://tickets.nordstern.com/events/cultura40,https://tickets.nordstern.com/events/cultura40,13
