Club,Title,Date,Time,Artists,Genre,Description,Venue,Ticket URL,Event URL,Score
Kaschemme,SUMMER RAVE // Day &amp; Night,2026-07-25,,,,"Am Samstag, 26. Juli feiern wir mit guten Freund:innen den  alljährlichen Kaschemme Day &amp; Night Summer-Rave!  Geniesst mit uns  begeisternde Musik unter freiem Himmel und lasst euch von der  elektrisierenden Atmosphäre anstecken.Lineup: 𝗝𝗘𝗟𝗘𝗡𝗔, 𝗙𝗥𝗥𝗥 𝗠𝗬 𝗣𝗢𝗡𝗬, 𝗡𝗔Ú𝗧𝗘𝗦 𝘓𝘐𝘝𝘌, 𝗩𝗟𝗡𝗢𝗟𝗔𝗠, 𝗔𝗥𝗣𝗔𝗚𝗔𝗨𝗦 &amp; 𝗙𝗟Ö𝗧𝗘-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2507/summerrave,10
Kaschemme,HITS N SHITS,2026-08-01,,,,"Hits ‘n’ Shits von damals bis heute:&nbsp; Wir kreieren den perfekten Abend, um nach dem ersten Heimspiel der Saison zu feiern! DJ RAMBO spielt von den grössten Songs bis zur guilty pleasure alles, was das Tanzbein bewegt.Lineup: 𝗗𝗝 𝗥𝗔𝗠𝗕𝗢 𝘢𝘭𝘭 𝘯𝘪𝘨𝘩𝘵 𝘭𝘰𝘯𝘨-&gt; https://tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/8/2/hits-n-shits,10
Kaschemme,NICA // OPEN AIR,2026-08-08,,,,"Zum zweiten Mal diesen Sommer lädt NICA zum Rave im Garten der  Kaschemme! Vom Nachmittag bis tief in die Nacht lassen wir die Bässe  wummern und schaffen gemeinsam einen Raum für ein immersives Bad in den  Klangwelten.Lineup: 𝗘𝗙𝗧𝗡 𝘓𝘐𝘝𝘌, 𝗧𝗜𝗠𝗡𝗔𝗛, 𝗔𝗟𝗜𝗦𝗦𝗔, 𝗟𝗨𝗫 𝗙𝗨𝗫, 𝗧𝗛𝗜𝗟𝗢-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2508/openair,10
Kaschemme,Daisy Chain presents: HORROR VACUI (ITA),2026-08-20,,,rock,"HORROR VACUI blends early ’80s goth with post-punk in a horror-tinged sound. Their name reflects a signature style built on tight, guitar-driven songs, sing-along hooks and vocal lines many of which have become modern goth anthems as for “In Darkness You Will Feel Alright”.Lineup: 𝗛𝗢𝗥𝗥𝗢𝗥 𝗩𝗔𝗖𝗨𝗜, 𝗧𝗨𝗥𝗡𝗖𝗢𝗔𝗧𝗦-&gt; eventfrog.ch",,,https://www.kaschemme.ch/programm/2025/8/21/daisy-chain-presents-horror-vacui-ita,10
Kaschemme,OPENAIR // QUEERSCHI x CALOROSA,2026-08-21,,,dubstep,"Am Freitag 22. August feiern wir mit 𝘘𝘜𝘌𝘌𝘙𝘚𝘊𝘏𝘐 x 𝘊𝘈𝘓𝘖𝘙𝘖𝘚𝘈 erst im Garten und anschliessend im Club. Ab 19:30 Uhr bis Mitternacht - from booty shake dembow, to groovy bass, to deep dubstepLineup: 𝗖𝗔𝗟𝗜𝗖𝗔́, 𝗜𝗠𝗔𝗡, 𝗝𝗔𝗡𝗔𝗞𝗟𝗔𝗥, 𝗥𝗜𝗖𝗔𝗥𝗜𝗖𝗔, 𝗬𝗩𝗔𝗥𝗜𝗘-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2508/queerschicalorosoa,10
Kaschemme,VIERNULLVIER - Sommerfest,2026-09-11,,,house,"VIERNULLVIER lädt ein zum Sommerfest! Mit Beerpong-Turnier und erfrischender House-Musik im Club von 𝘊̧𝘖𝘉𝘈𝘕 und 𝘚𝘜𝘌𝘋𝘖.Lineup: 𝗖̧𝗢𝗕𝗔𝗡, 𝗦𝗨𝗘𝗗𝗢→ kein Vorverkauf!",,,https://www.kaschemme.ch/programm/2509/viernullvier-sommerfest,10
Kaschemme,OPENAIR // Season Closing,2026-09-18,,,,"Mit dem SEASON CLOSING am Freitag, 19. September ab 17:00 Uhr laden  wir noch einmal alle dazu ein, gemeinsam an der frischen Luft in die Nacht zu tanzen! Euch erwarten 12 Stunden In- und Outdoor Rave mit ausgewählten  Leckereien zum Sommerschluss.Lineup: 𝗛𝗘𝗥𝗭𝗦𝗖𝗛𝗪𝗘𝗦𝗧𝗘𝗥, 𝗞𝗔𝗟𝗜 𝗞𝗔𝗥𝗔𝗖𝗛𝗢, 𝗗𝗢𝗡𝗡𝗜𝗘, 𝗖𝗩𝗡𝗧𝗔𝗛𝗢𝗡𝗧𝗔𝗦, 𝗞𝗢𝗡𝗥𝗔𝗗 𝗗𝗬𝗖𝗞𝗘-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2509/openair-seasonclosing,10
Kaschemme,NACHTKATZE präsentiert BENZIN,2026-09-25,,,,"Diese Nacht entsteht nicht durch eine einzelne Person – sondern durch uns alle. Ohne Raver, kein Benzin. Gemeinsam zünden wir den Funken und lassen diese Nacht zu einem Inferno aus Energie und Leidenschaft werden.Lineup: 𝗟𝗜𝗡𝗖𝗛𝗘𝗡, 𝗘𝗗 𝗠𝗢$𝗕𝗬 b2b 𝗦𝗛𝗢𝗘𝗦𝗜𝗭𝗘𝟰𝟱, 𝗙𝗔𝗕𝗜𝗢 𝗠𝗔𝗥-&gt; https://tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2509/benzin,10
Kaschemme,ASTRO:LIBRA,2026-10-03,,,,"Wir tanzen im Zeichen der Himmelskonstellationen und zelebrieren am Samstag, 04. Oktober alle, die im Sternzeichen 𝘓𝘐𝘉𝘙𝘈 (Waage) geboren sind.Lineup: 𝗔𝗥𝗣𝗔𝗚𝗔𝗨𝗦 &amp; 𝗙𝗟Ö𝗧𝗘, 𝗧𝗛𝗢𝗠𝗔𝗦𝗦𝗢𝗡, 𝗙𝗥𝗔𝗨 𝗛𝗢𝗟𝗟𝗘 b2b 𝗞Ä𝗧𝗧𝗜, 𝗠𝗔𝗧𝗧𝗛𝗜𝗔𝗦 b2b 𝗔𝗗𝗥𝗜𝗔𝗡, 𝗘𝗟𝗨𝗜𝗦𝗜𝗢𝗡-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/10/4/astro-libra,10
Kaschemme,ANCST,2026-10-08,,,metal,"Blackened Metalcore / Death Metal with chunks of Grindcore &amp; Crust thrown in the mix. Active since 2011 with tours all over Europe and the UK and a back catalog of over 28 releases that range from their trademark sound to experiments in raw black metal or dark ambient. DIY to the core - no gimmicks, no fancy-ass industry bullshit - just rage &amp; blast beats.Lineup: &nbsp;𝗔𝗡𝗖𝗦𝗧, 𝗩𝗔𝗟𝗔𝗥𝗔, &nbsp;𝗗𝗜𝗦𝗜𝗡𝗖𝗟𝗜𝗡𝗘𝗗-&gt; Vorverkauf via Eventfrog",,,https://www.kaschemme.ch/programm/2025/10/9/ancst,10
Kaschemme,HITS N' SHITS,2026-10-17,,,,"Hits ‘n’ Shits von damals bis heute:&nbsp; DJ Rambo spielt von den grössten Hits bis zur guilty pleasure alles, was das Tanzbein bewegt: von ABBA bis Vengaboys, von Robbie Williams über Shakira, Nina Chuba und *Nsync bis Dr. Alban und co.Lineup: &nbsp;𝗗𝗝 𝗥𝗔𝗠𝗕𝗢 // 𝘢𝘭𝘭 𝘯𝘪𝘨𝘩𝘵 𝘭𝘰𝘯𝘨-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/10/18/hits-n-shits,10
Kaschemme,CLUB EDENLOS,2026-10-24,,,,"Nach einem warmen Sommer mit viel Getanze unter freiem Himmel kehren wir zur kühlen Herbstzeit in den Club zurück. 𝘊𝘓𝘜𝘉 𝘌𝘋𝘌𝘕𝘓𝘖𝘚 läuft endlich wieder vollzählig in der Kaschemme auf und hat dabei zwei Asse im Ärmel!Lineup: 𝗭Ü𝗡𝗗𝗘𝗥𝗘𝗟𝗟𝗔, 𝗛𝗔𝗡𝗚𝗔𝗥𝗛𝗔𝗨𝗦𝗜, 𝗗𝗝 𝗚𝗟𝗘𝗡𝗧𝗔𝗡 𝗯𝟮𝗯 𝗦𝗪𝗔𝗚𝗖𝗛𝗜𝗘𝗙, 𝗗𝗝 𝗗𝗔𝗨𝗘𝗥𝗪𝗘𝗟𝗟𝗘-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/10/25/edenlos,10
Kaschemme,COREBOUND,2026-10-28,,,,"Am Mittwoch 29. Oktober kehren 𝘙𝘜𝘐𝘕𝘚 𝘖𝘍 𝘗𝘌𝘙𝘊𝘌𝘗𝘛𝘐𝘖𝘕 zurück in die Schweiz! Für dieses Wiedersehen werden sie begleitet von der britischen Deathcore-Gewalt 𝘛𝘖 𝘖𝘉𝘌𝘠 𝘈 𝘛𝘠𝘙𝘈𝘕𝘛 und als lokaler Support Act steht die Basler Deathcore Band 𝘐, 𝘋𝘌𝘓𝘜𝘚𝘐𝘖𝘕𝘐𝘚𝘛 an ihrer Seite.Lineup: 𝗥𝗨𝗜𝗡𝗦 𝗢𝗙 𝗣𝗘𝗥𝗖𝗘𝗣𝗧𝗜𝗢𝗡, 𝗧𝗢 𝗢𝗕𝗘𝗬 𝗔 𝗧𝗬𝗥𝗔𝗡𝗧, 𝗜, 𝗗𝗘𝗟𝗨𝗦𝗜𝗢𝗡𝗜𝗦𝗧-&gt; eventfrog.ch",,,https://www.kaschemme.ch/programm/2025/10/29/corebound,10
Kaschemme,INDIE ROCK // KASCHEMME,2026-10-31,,,indie,"Gitarren, kühle Drinks und Hits, Hits, Hits: INDIE ROCK ist zurück und hat alle Songs im Gepäck, die Dein Indie-Herz begehrt. Lineup: 𝗔𝗡𝗗𝗬 // all night long-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/11/1/indie-rock,10
Kaschemme,ASTRO:SCORPIO,2026-11-06,,,,"Wir tanzen im Zeichen der Himmelskonstellationen und zelebrieren am Freitag, 07.11.2025 alle Skorpione. Den musikalischen Bogen spannen die DJ-Veteranen 𝘉Ö𝘙𝘕𝘚 &amp; 𝘡𝘌𝘚𝘛 sowie die zauberhafte 𝘏𝘌𝘙𝘡𝘚𝘊𝘏𝘞𝘌𝘚𝘛𝘌𝘙. Die Sterne verheissen eine elektrisierende Nacht.Lineup: 𝗕Ö𝗥𝗡𝗦, 𝗛𝗘𝗥𝗭𝗦𝗖𝗛𝗪𝗘𝗦𝗧𝗘𝗥, 𝗭𝗘𝗦𝗧-&gt; tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2025/11/7/astroscorpio,10
Kaschemme,LA BECQUE x CITY SALTS,2026-11-07,,,,"𝘓𝘈 𝘉𝘌𝘊𝘘𝘜𝘌 | 𝘈𝘳𝘵𝘪𝘴𝘵 𝘙𝘦𝘴𝘪𝘥𝘦𝘯𝘤𝘺 und der Kunstverein 𝘚𝘈𝘓𝘛𝘚 feiern in der Kaschemme das Ende ihrer gemeinsamen Ausstellung WHAT SINKS STILL SINGS mit Live- und DJ-SetsLineup: 𝗡𝗜𝗚𝗛𝗧𝗜𝗡𝗚𝗔𝗟𝗘, 𝗖𝗛𝗔𝗢𝗦 𝗖𝗟𝗔𝗬, 𝗦𝗧𝗜𝗟𝗟 𝗩𝗦 𝗟𝗢𝗪 𝗝𝗔𝗖𝗞 𝗩𝗦 𝗣𝗔𝗟𝗠 𝗪𝗜𝗡𝗘, 𝗟𝗔 𝗕𝗘𝗖𝗤𝗨𝗘 𝗗𝗝𝗦-&gt; https://tickets.kaschemme.ch",,,https://www.kaschemme.ch/programm/2511/laecquexcitysalts,10
